,id,label,srcAddress,srcPort,destAddress,destPort,appProtocol
2646,14d030a5-3695-4979-ad2d-e6656458592b,疑似恶意流量,172.16.79.37,49430,10.134.31.28,443,tls
2647,8d2186df-6343-43b4-90bb-46f5125e8480,疑似恶意流量,172.16.79.37,49377,10.134.31.28,443,tls
2648,6834851f-5f23-41b7-b903-ee38717a03d0,疑似恶意流量,172.16.79.37,49422,10.134.31.28,443,tls
2649,8ec8c7e0-759c-4883-a548-0f350cb5f9b3,疑似恶意流量,172.16.79.37,49368,10.134.31.28,443,tls
2650,68ba379c-fbe7-4a61-ab09-32370d2f5780,疑似恶意流量,172.16.79.37,49274,10.134.31.28,443,tls
2651,cb5a7b6f-d1de-4fc7-94f0-ef180e6b374d,疑似恶意流量,172.16.79.37,49414,10.134.31.28,443,tls
2652,71d69914-c731-4a8e-8b1d-fb8838f64577,疑似恶意流量,172.16.79.37,49341,10.134.31.28,443,tls
2653,7791bc2c-ffe0-42f4-99a1-9c22cdcf5948,疑似恶意流量,172.16.79.37,49326,10.134.31.28,443,tls
2654,deab8c2b-d061-4d9e-9222-e405b32a2810,疑似恶意流量,172.16.79.37,49382,10.134.31.28,443,tls
2655,a7852388-ab79-4d8f-b195-d4694a875c91,疑似恶意流量,172.16.79.37,49353,10.134.31.28,443,tls
2656,d5075f7d-4ab0-4d39-a03a-4fe5d6629ddf,疑似恶意流量,172.16.79.37,49461,10.134.31.28,443,tls
2657,5c4d4b41-d9ee-4075-96ff-5d117807b386,疑似恶意流量,172.16.79.37,49390,10.134.31.28,443,tls
2658,0072580d-c5a5-42e6-b7c4-34653cfa594f,疑似恶意流量,172.16.79.37,49400,10.134.31.28,443,tls
2659,87b0b234-47e5-4070-9bed-75db4530e539,疑似恶意流量,172.16.79.37,49295,10.134.31.28,443,tls
2660,bc11ec87-9833-4353-a36e-4a75f6f2198a,疑似恶意流量,172.16.79.37,49475,10.134.31.28,443,tls
2661,1f34cacb-6d7a-4cc7-a433-dcafdb9839da,疑似恶意流量,172.16.79.37,49412,10.134.31.28,443,tls
2662,16a5de71-ec24-4626-932f-c96f11dab750,疑似恶意流量,172.16.79.37,49316,10.134.31.28,443,tls
2663,d4afb895-4442-4598-be21-17566c94deb5,疑似恶意流量,172.16.79.37,49371,10.134.31.28,443,tls
2664,e91d28be-b8ae-4937-afc6-138c64f251dc,疑似恶意流量,172.16.79.37,49480,10.134.31.28,443,tls
2665,0509cb16-a741-4b6e-8fde-44413025f78d,疑似恶意流量,172.16.79.37,49451,10.134.31.28,443,tls
2666,e9b6bc8a-050b-415b-b81f-2a8deabd2d3d,疑似恶意流量,172.16.79.37,49308,10.134.31.28,443,tls
2667,5d00b7f6-2c8b-4017-9ddb-a7b831edffd4,疑似恶意流量,172.16.79.37,49317,10.134.31.28,443,tls
2668,0a98a930-4fde-4efe-b065-c1c6e9224b10,疑似恶意流量,172.16.79.37,49437,10.134.31.28,443,tls
2669,c73cb3ac-26c4-45ee-aa38-3c17217e90c5,疑似恶意流量,172.16.79.37,49428,10.134.31.28,443,tls
2679,9dbbfb67-fa1c-4dd4-a896-becccb7cdd00,疑似恶意流量,172.16.79.249,49181,10.18.208.157,443,tls
2680,21300656-ef30-4e3f-bdff-40bd629714de,疑似恶意流量,172.16.79.249,49216,10.18.208.157,443,tls
2681,6a92867b-8d2d-42ba-9e8c-132fad48aa46,疑似恶意流量,172.16.79.249,49234,10.18.208.157,443,tls
2682,ed9886a5-17d0-46c3-a449-322730249232,疑似恶意流量,172.16.79.247,49249,10.26.206.179,449,tls
2693,743dbe1f-4ee4-4cf7-a966-ca0de7333043,疑似恶意流量,172.16.79.22,60942,10.189.19.68,449,tls
2694,460ab1ee-57e3-4bda-8faf-a66dcedbe6b8,疑似恶意流量,172.16.79.22,60936,10.189.19.68,449,tls
2794,7b18c21b-adb1-4c5b-ada8-bb02771c6cc3,疑似恶意流量,172.16.78.45,49198,10.86.37.171,449,tls
2795,da3cc374-32b8-4716-bbe7-4483a08f760d,疑似恶意流量,172.16.78.45,49179,10.86.37.171,449,tls
2796,461f7c26-6566-4e5c-855c-e005b52b4625,疑似恶意流量,172.16.78.45,49228,10.86.37.171,449,tls
2797,0b9e4e7a-1530-4450-81e3-b422cb5c0ac8,疑似恶意流量,172.16.78.45,49217,10.86.37.171,449,tls
2798,03d7d3dd-9fa7-42c8-9857-a3b44b220ca1,疑似恶意流量,172.16.78.45,49220,10.86.37.171,449,tls
2799,df0f90cd-63bc-4e8f-80ce-6fbf9432a93c,疑似恶意流量,172.16.78.45,49215,10.86.37.171,449,tls
2800,5c9300eb-80f7-4a82-bfb6-5a65ada5f8af,疑似恶意流量,172.16.78.45,49213,10.86.37.171,449,tls
2801,6140b54b-a1f8-4674-a6f0-1ce7e1b967ac,疑似恶意流量,172.16.78.45,49165,10.86.37.171,449,tls
2802,c1a0f0e2-b95a-4395-b2a7-0102a99528ff,疑似恶意流量,172.16.78.45,49182,10.86.37.171,449,tls
2803,587c85b3-9c85-42ca-a474-c8102abdde1e,疑似恶意流量,172.16.78.45,49203,10.86.37.171,449,tls
2822,d293e92d-2edc-409d-a115-e1bbc5e32584,疑似恶意流量,172.16.78.28,49221,10.183.23.113,449,tls
2849,486f4ee8-0888-4168-829a-7f9cb3b4be01,疑似恶意流量,172.16.78.224,49211,10.70.187.92,447,tls
2850,96230254-2059-49bf-8f93-9b52c037847e,疑似恶意流量,172.16.78.224,49209,10.70.187.92,447,tls
2916,812e230e-d36d-4528-b7fe-e93673eafdcf,疑似恶意流量,172.16.77.36,49565,10.107.30.37,449,tls
2917,951d339e-7b5b-45b5-898d-7098b8c55ea2,疑似恶意流量,172.16.77.36,49567,10.107.30.37,449,tls
2918,82895142-4e91-4377-8e0c-40d47075dc49,疑似恶意流量,172.16.77.36,49575,10.107.30.37,449,tls
2977,a72f09a6-0c2f-40f5-ac83-58ab6979ae5b,疑似恶意流量,172.16.77.148,49272,10.166.124.85,443,tls
2998,30f95ce8-1b14-443d-8dea-a6551547f93c,疑似恶意流量,172.16.77.119,49193,10.29.99.186,443,tls
3068,886d37ee-068f-4cd6-904a-8768ffb766a5,疑似恶意流量,172.16.76.192,49205,10.41.161.193,443,tls
3069,e2505032-0b36-45bf-825d-c821f6069006,疑似恶意流量,172.16.76.192,49217,10.41.161.193,443,tls
3070,b7b571a9-8dbe-4a2b-bc89-77dbe359a37e,疑似恶意流量,172.16.76.192,49221,10.41.161.193,443,tls
3071,b327b316-c97b-4611-975e-9d29fa88fffd,疑似恶意流量,172.16.76.192,49220,10.41.161.193,443,tls
3072,b1109f8c-14bd-496a-82d0-6059a0fc2078,疑似恶意流量,172.16.76.19,49297,10.191.16.61,443,tls
3073,e2fa9a36-4ab8-4c1b-8246-4324c47eaa98,疑似恶意流量,172.16.76.19,49300,10.191.16.61,443,tls
3074,e4d44626-ea46-41a5-bfa7-727285d8880e,疑似恶意流量,172.16.76.19,49291,10.191.16.61,443,tls
3077,88c63910-1dbf-49ad-8bdd-b4601aa46441,疑似恶意流量,172.16.76.183,49210,10.23.153.66,449,tls
3164,231b142a-5f0f-448c-ad24-fefd17de0028,疑似恶意流量,172.16.75.26,49216,10.29.22.17,443,tls
3178,5b8fe5f8-c400-4be6-a046-dea5dd8eef4a,疑似恶意流量,172.16.75.206,49309,10.91.172.182,443,tls
3242,940ec031-f25c-4f1d-9ceb-a65df7110076,疑似恶意流量,172.16.74.4,49258,10.166.3.108,443,tls
3300,df323867-492c-46da-ad18-7b71c0c35098,疑似恶意流量,172.16.74.125,49505,10.152.104.51,443,tls
3301,63132780-0b2e-44b7-ab27-99da3e98c8c5,疑似恶意流量,172.16.74.125,49201,10.152.104.51,443,tls
3302,d2ddb61e-48b9-406d-b5b5-c979132182b2,疑似恶意流量,172.16.74.125,49494,10.152.104.51,443,tls
3303,6bb75065-101f-44eb-8fa9-fc424e93a693,疑似恶意流量,172.16.74.125,49546,10.152.104.51,443,tls
3304,15ecfb6c-ea9d-4812-8b1b-5a6b5ae4ede8,疑似恶意流量,172.16.74.125,49538,10.152.104.51,443,tls
3305,9d3a17c2-0e15-45ea-8333-ebdb74bab654,疑似恶意流量,172.16.74.125,49502,10.152.104.51,443,tls
3346,3ab2af01-4163-4c2a-be4f-13c1b04354f5,疑似恶意流量,172.16.73.227,49341,10.113.190.186,443,tls
3347,6cb3cc5a-dbbd-4804-90ab-424e75e80a0c,疑似恶意流量,172.16.73.227,49209,10.113.190.186,443,tls
3348,0da614d7-4f67-4a54-8764-67f8fcd6c02c,疑似恶意流量,172.16.73.227,49284,10.113.190.186,443,tls
3349,47ce35f9-47bb-4302-9a36-72ac6326e0e1,疑似恶意流量,172.16.73.227,49370,10.113.190.186,443,tls
3350,0c2c6675-34df-4b26-9702-97a475d7049c,疑似恶意流量,172.16.73.227,49238,10.113.190.186,443,tls
3351,ba5f9cf7-f576-446b-9c21-c9ea30ac2382,疑似恶意流量,172.16.73.227,49372,10.113.190.186,443,tls
3352,e9902ebc-8c1b-4372-8dc5-e689396aea77,疑似恶意流量,172.16.73.227,49378,10.113.190.186,443,tls
3353,227175a9-c720-4603-aa9b-48bae3ba0b79,疑似恶意流量,172.16.73.227,49232,10.113.190.186,443,tls
3354,bfe410a0-68aa-4bbc-a92f-b955a15e11ee,疑似恶意流量,172.16.73.227,49321,10.113.190.186,443,tls
3355,a11f13b1-b8f2-46af-876d-d24642ef3457,疑似恶意流量,172.16.73.227,49349,10.113.190.186,443,tls
3356,5c742946-640c-4290-972f-b3d3b0931040,疑似恶意流量,172.16.73.227,49226,10.113.190.186,443,tls
3357,53e8d957-71ad-4953-9350-7921e8d89c99,疑似恶意流量,172.16.73.227,49213,10.113.190.186,443,tls
3358,be73179d-2a7e-4075-b6be-cbe39478f48d,疑似恶意流量,172.16.73.227,49279,10.113.190.186,443,tls
3359,f2eaae3c-8834-4fd2-b6b3-c18787be0d65,疑似恶意流量,172.16.73.227,49224,10.113.190.186,443,tls
3360,20a3dc58-62cc-4619-96a7-1ae7929259e5,疑似恶意流量,172.16.73.227,49359,10.113.190.186,443,tls
3394,4e4fad24-eac0-4ddc-90b0-c6eca1252734,疑似恶意流量,172.16.73.143,49216,10.108.119.194,447,tls
3404,0274ae1f-3fe4-4af6-a5f4-f48bc3b92bdd,疑似恶意流量,172.16.73.12,58628,10.66.10.48,443,tls
3433,68203913-e4d8-43eb-bfa5-bf1015fe0c03,疑似恶意流量,172.16.72.49,49205,10.96.41.13,9001,tls
3436,6419240a-d128-4772-a4af-7dab1e721732,疑似恶意流量,172.16.72.46,49244,10.182.38.121,443,tls
3486,e2f5877d-8450-4ed0-a47c-87903d46943f,疑似恶意流量,172.16.72.146,49349,10.149.122.58,443,tls
3487,506a2c48-8ce7-4fd4-8637-219c639e82fe,疑似恶意流量,172.16.72.146,49347,10.149.122.58,443,tls
3488,210a95fc-2fa6-4ed8-9091-93cc39b1b3b8,疑似恶意流量,172.16.72.146,49345,10.149.122.58,443,tls
3489,e412eee5-a7ae-4ef2-b60a-e2359e04cfbf,疑似恶意流量,172.16.72.146,49351,10.149.122.58,443,tls
3658,be04e7a3-b3ff-462a-8db4-9b9b28db4ce8,疑似恶意流量,172.16.70.37,49176,10.8.31.189,443,tls
3659,927f733a-7c93-45f2-b5e4-f14b44ca6350,疑似恶意流量,172.16.70.37,49200,10.8.31.189,443,tls
3751,5c2c8d4a-db4b-42cb-8804-ea750c2ab364,疑似恶意流量,172.16.7.4,49353,10.173.4.171,9001,tls
3814,74bfcb04-db95-4b92-a884-5f007a4cfe32,疑似恶意流量,172.16.7.15,49267,10.149.13.13,443,tls
3815,82aa3261-53cb-4d7a-b23c-23ebd503e39a,疑似恶意流量,172.16.7.15,49378,10.149.13.13,443,tls
3816,d05870f0-2c71-4d4b-8d40-20b6cb3e739b,疑似恶意流量,172.16.7.15,49312,10.149.13.13,443,tls
3817,0cbd36a9-6b1f-4e46-b248-0a6cd3a381ee,疑似恶意流量,172.16.7.15,49194,10.149.13.13,443,tls
3818,678d0dfb-1bc7-4acb-9d46-68c1ff19a77a,疑似恶意流量,172.16.7.15,49222,10.149.13.13,443,tls
3845,0132434c-a5ba-4556-a26c-818f284e5bf0,疑似恶意流量,172.16.69.99,49165,10.82.82.53,9090,tls
3857,37b6a400-b0f5-4b7b-a95f-2b9a45e967a7,疑似恶意流量,172.16.69.81,49332,10.186.67.135,995,tls
3910,2cd0ba57-c915-4f36-8a16-20e4fc9c0be6,疑似恶意流量,172.16.69.221,49173,10.188.185.32,9001,tls
3942,dacfd57a-94df-4198-bff3-a81a4b97006c,疑似恶意流量,172.16.69.135,58213,10.133.113.164,449,tls
3943,6794d610-c3ad-44b9-8b9d-20c463dbe646,疑似恶意流量,172.16.69.135,61438,10.133.113.164,449,tls
3944,d9e84c36-fa33-4bf4-8a48-7eb0393dfc39,疑似恶意流量,172.16.69.135,59012,10.133.113.164,449,tls
3945,b682aca6-82d5-40fa-8a89-50916f950f59,疑似恶意流量,172.16.69.135,58491,10.133.113.164,449,tls
3946,8687fb96-e36e-4c56-a11e-6b50ab02ca5f,疑似恶意流量,172.16.69.135,52923,10.133.113.164,449,tls
3947,7a2df217-ad02-4037-a193-5a11155f7fa3,疑似恶意流量,172.16.69.135,58674,10.133.113.164,449,tls
3948,de66fc25-5638-4f1d-bf47-9ffd5bcf3aee,疑似恶意流量,172.16.69.135,58813,10.133.113.164,449,tls
3949,cbd94a94-d66f-4bd9-97a8-569f1dc4f22b,疑似恶意流量,172.16.69.135,62373,10.133.113.164,449,tls
3950,91908374-3949-4064-bf20-2dc10afdf83a,疑似恶意流量,172.16.69.135,58720,10.133.113.164,449,tls
3951,312a8139-8722-4caf-b67d-05df511b1993,疑似恶意流量,172.16.69.135,58631,10.133.113.164,449,tls
3952,41c2a582-eab4-45f5-9333-bdd2fbc76460,疑似恶意流量,172.16.69.135,61660,10.133.113.164,449,tls
3953,e7548d69-7e27-46e4-b03b-1822fd4dfe0b,疑似恶意流量,172.16.69.135,61407,10.133.113.164,449,tls
3954,7d8be99e-042b-4cc0-ba5d-71933bf78569,疑似恶意流量,172.16.69.135,58394,10.133.113.164,449,tls
3955,aec82853-1c4b-411b-ba86-36153259f455,疑似恶意流量,172.16.69.135,62241,10.133.113.164,449,tls
3956,faf6d797-97a8-413b-9bcd-86c9d31aa555,疑似恶意流量,172.16.69.135,61728,10.133.113.164,449,tls
3957,4645c4f5-a25a-41c4-ba98-fb9222fc8dc6,疑似恶意流量,172.16.69.135,61242,10.133.113.164,449,tls
3958,bacdece6-37ef-44e0-9f52-2d1a9a7c10ad,疑似恶意流量,172.16.69.135,62224,10.133.113.164,449,tls
3959,086b3321-c12e-40ca-9e34-e6ef53a940c1,疑似恶意流量,172.16.69.135,58862,10.133.113.164,449,tls
3960,35cd4926-1959-4504-827b-42446b439f94,疑似恶意流量,172.16.69.135,58166,10.133.113.164,449,tls
3961,af325777-0bae-4033-b996-d5e3c457f2bc,疑似恶意流量,172.16.69.135,61677,10.133.113.164,449,tls
3962,e8a108d6-44f3-4e74-914c-8c49ff3e70c6,疑似恶意流量,172.16.69.135,58151,10.133.113.164,449,tls
3963,1540943b-ddd8-40a1-bf11-dfb4f2459d1d,疑似恶意流量,172.16.69.135,62407,10.133.113.164,449,tls
3964,79922fd7-3a83-41ed-b4b9-7de79f4857eb,疑似恶意流量,172.16.69.135,58654,10.133.113.164,449,tls
3965,8225a5bc-1944-4d38-9b3b-bc8e02a0b732,疑似恶意流量,172.16.69.135,61626,10.133.113.164,449,tls
3966,e85bde62-17be-413a-8274-e86e69ea8c7a,疑似恶意流量,172.16.69.135,58137,10.133.113.164,449,tls
3967,9736ae89-e469-43c9-b2ed-d1d8aa1a869c,疑似恶意流量,172.16.69.135,58267,10.133.113.164,449,tls
3968,9faf7d01-cb51-402f-a990-2468fb0ae95b,疑似恶意流量,172.16.69.135,58304,10.133.113.164,449,tls
3969,cf1f861c-99a6-4ecd-af6a-f5c2c8f3f00b,疑似恶意流量,172.16.69.135,58586,10.133.113.164,449,tls
4072,0df0595c-5b4b-4faf-9112-87aea60c07f1,疑似恶意流量,172.16.68.214,49206,10.6.178.168,443,tls
4073,e4de3758-58dd-40b6-9fd1-35e3d647dcbb,疑似恶意流量,172.16.68.214,49187,10.6.178.168,443,tls
4074,d6078d86-5b0b-42ae-a385-223f35279c1d,疑似恶意流量,172.16.68.214,49202,10.6.178.168,443,tls
4075,743a567f-1256-4b6d-ae59-ce7b449dc26a,疑似恶意流量,172.16.68.214,49208,10.6.178.168,443,tls
4160,b3fd92ca-c068-4d31-a7d8-64610db565d6,疑似恶意流量,172.16.67.212,49824,10.181.177.143,443,tls
4161,ad8a5d3c-02d9-488e-9517-c4c2727b4dd0,疑似恶意流量,172.16.67.212,49794,10.181.177.143,443,tls
4213,bae75b2e-d1f5-4da5-9d67-a487ee4d8809,疑似恶意流量,172.16.67.113,49219,10.48.95.133,443,tls
4214,0c9c1f53-bc41-4984-bc42-1568b4ff8c0c,疑似恶意流量,172.16.67.113,49222,10.48.95.133,443,tls
4215,884f41e7-ae9a-45c4-a0d6-dba59b5b52f4,疑似恶意流量,172.16.67.113,49191,10.48.95.133,443,tls
4216,6a0f7850-9c64-4957-a43f-371ff25a1691,疑似恶意流量,172.16.67.113,49230,10.48.95.133,443,tls
4217,b989c7ce-9456-4e1a-846c-8047258489c4,疑似恶意流量,172.16.67.113,49183,10.48.95.133,443,tls
4218,52d3bea6-3385-4457-b956-1690dd8cdc78,疑似恶意流量,172.16.67.113,49229,10.48.95.133,443,tls
4219,d4fc0430-886d-456f-8ea3-91fa115c7272,疑似恶意流量,172.16.67.113,49188,10.48.95.133,443,tls
4220,7d22ea6a-e55f-4f4c-8f5c-a9322292edd7,疑似恶意流量,172.16.67.113,49224,10.48.95.133,443,tls
4221,35b3185f-44b8-4511-9fc4-ea1293cb2d04,疑似恶意流量,172.16.67.113,49213,10.48.95.133,443,tls
4291,d659af2a-4436-45ca-9254-ef58cf304da7,疑似恶意流量,172.16.66.21,49286,10.148.18.170,443,tls
4292,cd3bd22c-a57a-4309-b1a2-ffda59b6abf5,疑似恶意流量,172.16.66.21,49352,10.148.18.170,443,tls
4293,993e24fd-834f-4a61-9d54-20cc85e05679,疑似恶意流量,172.16.66.21,49305,10.148.18.170,443,tls
4294,ee267c54-dd39-4763-8e7f-8ca05c53cdf9,疑似恶意流量,172.16.66.21,49395,10.148.18.170,443,tls
4295,ce1656c4-ad5c-48aa-b626-f2f042202cc9,疑似恶意流量,172.16.66.21,49400,10.148.18.170,443,tls
4296,650d0b84-3cf3-463c-88de-6ab60e41faf0,疑似恶意流量,172.16.66.21,49310,10.148.18.170,443,tls
4297,f8f14773-438e-4dab-9ba9-c1fc13f0d61a,疑似恶意流量,172.16.66.21,49347,10.148.18.170,443,tls
4298,9605ced5-6cca-4458-b538-a480de387cc6,疑似恶意流量,172.16.66.21,49360,10.148.18.170,443,tls
4299,45b8bbd0-d0a1-40ea-8195-a0936d7b33db,疑似恶意流量,172.16.66.21,49337,10.148.18.170,443,tls
4300,9d90226e-885f-414e-9ad8-0125f50011ed,疑似恶意流量,172.16.66.21,49293,10.148.18.170,443,tls
4301,f2116de9-1f59-4e11-acd3-e5a01584bce7,疑似恶意流量,172.16.66.21,49399,10.148.18.170,443,tls
4302,2d4e926d-d573-4418-83ac-dd17f9737f9b,疑似恶意流量,172.16.66.21,49386,10.148.18.170,443,tls
4303,a903b2e3-9a26-4a48-bb96-d4f7deadcddf,疑似恶意流量,172.16.66.21,49341,10.148.18.170,443,tls
4304,6eff8b01-8105-4e27-9df0-c483e413f6af,疑似恶意流量,172.16.66.21,49316,10.148.18.170,443,tls
4305,28dede45-5920-49f3-b9d7-51912eba671f,疑似恶意流量,172.16.66.21,49295,10.148.18.170,443,tls
4306,866ffb51-105e-42a9-88e0-11a148dab115,疑似恶意流量,172.16.66.21,49366,10.148.18.170,443,tls
4307,29e0372d-dfd7-44b9-a934-842ebda1299d,疑似恶意流量,172.16.66.21,49317,10.148.18.170,443,tls
4308,41104621-9306-4988-9d68-19b47b04baf3,疑似恶意流量,172.16.66.21,49294,10.148.18.170,443,tls
4309,127a7fcc-30d1-46e0-874e-04dc7e8e29f3,疑似恶意流量,172.16.66.21,49367,10.148.18.170,443,tls
4310,408caa62-e468-4aa6-b889-aa97cf5d871a,疑似恶意流量,172.16.66.21,49330,10.148.18.170,443,tls
4311,1b399c65-353b-4376-90b6-a27220317301,疑似恶意流量,172.16.66.21,49329,10.148.18.170,443,tls
4339,8d377913-9136-41f5-99a4-3c87a385eeb1,疑似恶意流量,172.16.66.144,49202,10.90.120.89,443,tls
4340,54d92b6e-36b5-4374-b52f-b66443b888b8,疑似恶意流量,172.16.66.144,49235,10.90.120.89,443,tls
4341,a2e18441-98e7-49a3-a0a6-e673f82ec295,疑似恶意流量,172.16.66.144,49206,10.90.120.89,443,tls
4342,4aac571a-93ec-4805-8b4c-850f98a829cf,疑似恶意流量,172.16.66.144,49233,10.90.120.89,443,tls
4343,2217645a-f34d-429e-b257-8c7f707c5aaf,疑似恶意流量,172.16.66.144,49197,10.90.120.89,443,tls
4344,a672fdf7-97c8-46e5-99f0-5f00aa4671c3,疑似恶意流量,172.16.66.144,49216,10.90.120.89,443,tls
4427,92338047-0f43-48aa-9fef-2e7cb3f0aa51,疑似恶意流量,172.16.65.165,55213,10.34.138.179,449,tls
4428,041e98cc-a933-469a-b174-16c15c2de4c0,疑似恶意流量,172.16.65.165,55142,10.34.138.179,449,tls
4429,384f3808-be25-4a80-b243-69adbba96a2d,疑似恶意流量,172.16.65.165,55087,10.34.138.179,449,tls
4430,db006c2b-33ce-4ed3-a147-017a1a072563,疑似恶意流量,172.16.65.165,55060,10.34.138.179,449,tls
4431,e3a4629d-27c4-4048-b3b0-2d2970018f08,疑似恶意流量,172.16.65.165,55211,10.34.138.179,449,tls
4432,02ae9cc5-76c7-4a09-bfe7-e56c284015e0,疑似恶意流量,172.16.65.165,55113,10.34.138.179,449,tls
4433,8180d9fa-d58f-4c3a-906a-8f9d12bc3125,疑似恶意流量,172.16.65.165,55002,10.34.138.179,449,tls
4434,dd9b8e22-b3ba-439d-ac7e-cd6f7132cd9c,疑似恶意流量,172.16.65.165,54999,10.34.138.179,449,tls
4435,aab4fb24-fa7e-4f94-82f0-fa1e2a0bba6e,疑似恶意流量,172.16.65.165,55122,10.34.138.179,449,tls
4436,4867a329-972e-4a1b-b1ec-34385fd4c660,疑似恶意流量,172.16.65.165,55132,10.34.138.179,449,tls
4464,d436ed4d-981d-4e22-8279-b3bb58cb0f3c,疑似恶意流量,172.16.65.0,49200,10.74.0.38,443,tls
4465,25277c37-6e87-41cd-a1bb-c685806fc1f2,疑似恶意流量,172.16.65.0,49364,10.74.0.38,443,tls
4466,d2f9e18a-7d31-49a8-85cc-ca63ed715475,疑似恶意流量,172.16.65.0,49303,10.74.0.38,443,tls
4467,8fb61c46-6a14-436c-af34-1e6b77b28edf,疑似恶意流量,172.16.65.0,49369,10.74.0.38,443,tls
4468,af2692d4-b1a6-405b-b89d-332c8142b76f,疑似恶意流量,172.16.65.0,49311,10.74.0.38,443,tls
4469,f51f286a-12ff-4b7a-97bc-35fc4de9f049,疑似恶意流量,172.16.65.0,49197,10.74.0.38,443,tls
4470,f008fb37-5142-494d-a70b-4635c18d3978,疑似恶意流量,172.16.65.0,49338,10.74.0.38,443,tls
4471,7b96d318-d39b-4e90-ac2c-aa745b7fd124,疑似恶意流量,172.16.65.0,49224,10.74.0.38,443,tls
4472,6ea395ba-0f1c-4041-aba3-35e4fa41a52a,疑似恶意流量,172.16.65.0,49243,10.74.0.38,443,tls
4473,e11d9603-ae8d-49cc-bba2-36572977ed0a,疑似恶意流量,172.16.65.0,49352,10.74.0.38,443,tls
4474,b7851754-591d-410d-92df-260bb814f9f1,疑似恶意流量,172.16.65.0,49292,10.74.0.38,443,tls
4475,35b1f99f-0f25-493c-b9e1-727cfa3b94da,疑似恶意流量,172.16.65.0,49391,10.74.0.38,443,tls
4476,c13bef65-d3ad-49a1-8bdf-9cccd9ac2b95,疑似恶意流量,172.16.65.0,49333,10.74.0.38,443,tls
4477,cfa12ce8-fd2f-4891-8226-499945d7eda8,疑似恶意流量,172.16.65.0,49257,10.74.0.38,443,tls
4478,19444e1a-d4e8-4514-9574-3bf053fe3e02,疑似恶意流量,172.16.65.0,49354,10.74.0.38,443,tls
4479,9bd915ea-982c-4b8e-9dc9-085837a41528,疑似恶意流量,172.16.65.0,49248,10.74.0.38,443,tls
4480,788c29be-cf69-438d-be01-f33c42769b89,疑似恶意流量,172.16.65.0,49294,10.74.0.38,443,tls
4481,ee3b57a2-0eca-499e-a02c-4c1000195c9b,疑似恶意流量,172.16.65.0,49230,10.74.0.38,443,tls
4482,69ef474b-6c17-489b-90c1-a37340c613e2,疑似恶意流量,172.16.65.0,49299,10.74.0.38,443,tls
4483,82c63f9b-99c0-4456-8994-17126e89fdc9,疑似恶意流量,172.16.65.0,49191,10.74.0.38,443,tls
4484,2b377e76-be35-4965-9d21-704acd6ba8cc,疑似恶意流量,172.16.65.0,49222,10.74.0.38,443,tls
4485,03f0d1a5-dc4d-4a78-9911-7eb48a8f8cb0,疑似恶意流量,172.16.65.0,49286,10.74.0.38,443,tls
4486,12e793e9-0200-44d8-ad41-b0aca76bd13a,疑似恶意流量,172.16.65.0,49273,10.74.0.38,443,tls
4487,071497f1-b0d8-4c5b-a840-79f6d714a41b,疑似恶意流量,172.16.65.0,49305,10.74.0.38,443,tls
4488,ae8bacfc-7030-41ab-b3a5-3a053e0c7baf,疑似恶意流量,172.16.65.0,49362,10.74.0.38,443,tls
4489,e11bf964-e3b6-4756-bd10-cbfdc47b57ac,疑似恶意流量,172.16.65.0,49309,10.74.0.38,443,tls
4490,3ddd40fc-4e36-4df0-b0fd-16d813eeb87e,疑似恶意流量,172.16.65.0,49272,10.74.0.38,443,tls
4491,9cccf2ad-0732-4705-89a8-46ceb7313199,疑似恶意流量,172.16.65.0,49316,10.74.0.38,443,tls
4492,5cc3af0a-8132-4b23-b4d2-a8e1f911ac02,疑似恶意流量,172.16.65.0,49207,10.74.0.38,443,tls
4497,a0888563-469c-4b56-81a0-a66e5dfbffdc,疑似恶意流量,172.16.64.9,49242,10.127.8.43,9001,tls
4617,b4f11256-c4f3-4535-851b-68c9f05aa34a,疑似恶意流量,172.16.63.60,49184,10.25.50.83,443,tls
4618,8a05f0bb-cff2-4d4f-be41-71b016058353,疑似恶意流量,172.16.63.60,49393,10.25.50.83,443,tls
4619,efc9c64f-333e-47fd-86f7-5615f5694da0,疑似恶意流量,172.16.63.60,49420,10.25.50.83,443,tls
4620,e0e3b4dd-960d-4ad9-835e-e0da367ad3cd,疑似恶意流量,172.16.63.60,49265,10.25.50.83,443,tls
4621,4bcd64fd-e90a-47df-92bd-29c588de4805,疑似恶意流量,172.16.63.60,49228,10.25.50.83,443,tls
4622,5ece19e6-32d5-499a-9b73-1620004920cd,疑似恶意流量,172.16.63.60,49275,10.25.50.83,443,tls
4624,4db426fa-1dda-41bc-bff7-30624eb4897e,疑似恶意流量,172.16.63.51,59025,10.192.42.194,449,tls
4625,f2da9561-8428-4ac7-ae4c-02203d51167c,疑似恶意流量,172.16.63.51,55220,10.192.42.194,449,tls
4626,0322d0ea-e979-4f82-bc93-04a74e72b952,疑似恶意流量,172.16.63.51,55343,10.192.42.194,449,tls
4627,0ec0f24c-d6c4-4109-9ff6-05b9a606c8b8,疑似恶意流量,172.16.63.51,59521,10.192.42.194,449,tls
4628,b8975ef0-5978-4264-9904-2ad17b768d47,疑似恶意流量,172.16.63.51,55246,10.192.42.194,449,tls
